jour;nomReg;numReg;incid_rea
22/03/2020;Occitanie;76;16
22/03/2020;Pays de la Loire;52;9
22/03/2020;Provence-Alpes-Côte d'Azur;93;6
23/03/2020;Auvergne-Rhône-Alpes;84;45
23/03/2020;Bourgogne-Franche-Comté;27;12
23/03/2020;Bretagne;53;6
23/03/2020;Centre-Val de Loire;24;17
23/03/2020;Corse;94;2
23/03/2020;Grand-Est;44;81
23/03/2020;Guadeloupe;1;0
23/03/2020;Guyane;3;0
23/03/2020;Hauts-de-France;32;42
23/03/2020;Ile-de-France;11;155
23/03/2020;La Réunion;4;0
23/03/2020;Martinique;2;0
23/03/2020;Mayotte;6;0
23/03/2020;Normandie;28;7
23/03/2020;Nouvelle-Aquitaine;75;13
23/03/2020;Occitanie;76;30
23/03/2020;Pays de la Loire;52;11
23/03/2020;Provence-Alpes-Côte d'Azur;93;27
24/03/2020;Auvergne-Rhône-Alpes;84;47
24/03/2020;Bourgogne-Franche-Comté;27;19
24/03/2020;Bretagne;53;8
24/03/2020;Centre-Val de Loire;24;7
24/03/2020;Corse;94;0
24/03/2020;Grand-Est;44;104
24/03/2020;Guadeloupe;1;0
24/03/2020;Guyane;3;0
24/03/2020;Hauts-de-France;32;36
24/03/2020;Ile-de-France;11;236
24/03/2020;La Réunion;4;1
24/03/2020;Martinique;2;2
24/03/2020;Mayotte;6;0
24/03/2020;Normandie;28;11
24/03/2020;Nouvelle-Aquitaine;75;31
24/03/2020;Occitanie;76;32
24/03/2020;Pays de la Loire;52;12
24/03/2020;Provence-Alpes-Côte d'Azur;93;25
25/03/2020;Auvergne-Rhône-Alpes;84;85
25/03/2020;Bourgogne-Franche-Comté;27;30
25/03/2020;Bretagne;53;5
25/03/2020;Centre-Val de Loire;24;19
25/03/2020;Corse;94;0
25/03/2020;Grand-Est;44;99
25/03/2020;Guadeloupe;1;0
25/03/2020;Guyane;3;0
25/03/2020;Hauts-de-France;32;47
25/03/2020;Ile-de-France;11;219
25/03/2020;La Réunion;4;0
25/03/2020;Martinique;2;2
25/03/2020;Mayotte;6;0
25/03/2020;Normandie;28;18
25/03/2020;Nouvelle-Aquitaine;75;23
25/03/2020;Occitanie;76;34
25/03/2020;Pays de la Loire;52;9
25/03/2020;Provence-Alpes-Côte d'Azur;93;17
26/03/2020;Auvergne-Rhône-Alpes;84;64
26/03/2020;Bourgogne-Franche-Comté;27;19
26/03/2020;Bretagne;53;10
26/03/2020;Centre-Val de Loire;24;15
26/03/2020;Corse;94;4
26/03/2020;Grand-Est;44;95
26/03/2020;Guadeloupe;1;3
26/03/2020;Guyane;3;0
26/03/2020;Hauts-de-France;32;39
26/03/2020;Ile-de-France;11;221
26/03/2020;La Réunion;4;0
26/03/2020;Martinique;2;4
26/03/2020;Mayotte;6;0
26/03/2020;Normandie;28;22
26/03/2020;Nouvelle-Aquitaine;75;28
26/03/2020;Occitanie;76;44
26/03/2020;Pays de la Loire;52;17
26/03/2020;Provence-Alpes-Côte d'Azur;93;27
27/03/2020;Auvergne-Rhône-Alpes;84;77
27/03/2020;Bourgogne-Franche-Comté;27;24
27/03/2020;Bretagne;53;9
27/03/2020;Centre-Val de Loire;24;18
27/03/2020;Corse;94;1
27/03/2020;Grand-Est;44;102
